answer,preprocessing_result,sentimen
"Dalam mengajar sudah cukup baik,  mohon ditingkatkan",ajar cukup baik mohon tingkat,0
Pertahankan namun lebih ditingkatkan lagi,tahan lebih tingkat,0
Pelan** pak teranginnya…!!!,pelan pak angin,1
"Jangan kosongkan tugas pak, lanjutkan…",jangan kosong tugas pak lanjut,0
Ganbate… Slow lho..!!!,ganbate slow lho,0
"Butuh sentuhan humor, agar perkuliahan lebih berwarna",butuh sentuh humor kuliah lebih warna,1
Gak ada orang yang sempurna Ha. Ha. Ha.,gak orang sempurna ha ha ha,1
UAS harus dapat A ya bu…!!!,uas dapat a bu,0
"Asisten praktikum matakuliah IMK terlalu tegang dalam mengajar, kadang terlalu cepat",asisten praktikum matakuliah imk terlalu tegang ajar kadang terlalu cepat,0
Lanjutkan !!!,lanjut,0
Nyaman dalam perkuliahan dan jelas dalam menyampaikan…,nyaman kuliah jelas sampai,1
Tetap semangat,tetap semangat,1
siiip !,siiip,0
"Kita suka cara emngajar Bapak, pertahankan….",suka cara emngajar bapak tahan,0
"Dpertahankan ya pa cara mengajarnya, nilainya yang bagus…",dpertahankan pa cara ajar nilai bagus,1
Bagus,bagus,1
Untuk lebih mengkondisikan pada saat pembelajaran karena mahasiswa lebih cenderung agak malas,lebih kondisi saat ajar mahasiswa lebih cenderung malas,0
Dipertahankan cara mengajarnya…,tahan cara ajar,0
Is The BEst,is the best,1
Bagus cara mengajarnya,bagus cara ajar,0
Gue kagak ade saran ataupun komentar mengenai ni dosen. Care ngajarnye asyik… keep smile,gue kagak ade saran komentar kena ni dosen care ngajarnye asyik keep smile,1
"Tingkatkan terus, jangan pelit nilai ya pak",tingkat terus jangan pelit nilai pak,1
Dari segi mengajarnya sudah sangat baik tetapi jangan terlalu pelit nilai pak…,segi ajar sangat baik jangan terlalu pelit nilai pak,0
Jangan terlalu pelit nilai pak,jangan terlalu pelit nilai pak,0
Jangan pilih kasih terhadap mahasiswa,jangan pilih kasih hadap mahasiswa,1
Selalu membaur dengan mahasiswa…,selalu baur mahasiswa,1
Trik mengajarnya kurang memuaskan.,trik ajar kurang muas,0
Kunci dalam perkuliahan yang baik adalah komunikasi yang harmonis antara dosen dan mahasiswa,kunci kuliah baik komunikasi harmonis dosen mahasiswa,1
Sip,sip,0
Diajari style baca Al Qur'an yang baik.,ajar style baca al qur an baik,1
" - Lebih diperhatikan siswanya, agar bisa Tasjwid + baca Al Qur'an yang baik, sip. - Makhroj diajari ya…",- lebih perhati siswa bisa tasjwid baca al qur an baik sip - makhroj ajar,0
Top Bgt,top bgt,1
OK,,0
SIP,sip,0
Sip Lanjutlan.,sip lanjutlan,0
Trimakasih.,trimakasih,0
Tingkatkan bu !!!,tingkat bu,0
Cara penyampaian materi cukup baik (tingkatkan).,cara materi cukup baik tingkat,1
"Cara menyapaikan materi sudah cukup baik, bahasa yang digunakan mudah dipahami, pertahankan dan kembangkan terus…",cara sapai materi cukup baik bahasa guna mudah paham tahan kembang terus,0
Lebih baik lagi !!!,lebih baik,1
Tugasnya ditambah lagi,tugas tambah,1
Cara dosen mengajar sudah cukup bagus dan menyenangkan,cara dosen ajar cukup bagus senang,1
Nothing must be corrected,nothing must be corrected,0
No Comment !!!,no comment,1
"Minat belajarnya terhadap mahasiswa agar bisa ditingkatkan lagi, terimakasih",minat ajar hadap mahasiswa bisa tingkat terimakasih,0
Goodbless you…,goodbless you,0
Lanjutkan !!!,lanjut,0
Terimakasih,terimakasih,0
Lebih tegas dalam mengajar supaya mahasiswa yang malas dapat jelas memperhatikan,lebih tegas ajar mahasiswa malas jelas perhati,0
"Penampilan ibu dikelas saat mengajar sangat menarik, sehingga mahasiswa menjadi bersemangat dalam kuliah. Tolong dipertahankan, terimakasih",tampil ibu kelas ajar sangat tarik mahasiswa jadi semangat kuliah tahan terimakasih,0
Sudah baik dalam mengajar,baik ajar,0
Tetap jaga suasana hangat dalam pembelajaran. I'am enjoy with you,tetap jaga suasana hangat ajar i am enjoy with you,1
"Saya tidak ada komentar ibu, soalnya cara mengajar ibu sudah baik",tidak komentar ibu soal cara ajar ibu baik,0
"Bu, kalau bisa jelasin detail pabriknya",bu kalau jelasin detail pabrik,1
Saya harap ibu dapat menjelaskan materinya lebih sedeerhana lagi jadi mudah dimengerti,harap ibu jelas materi lebih sedeerhana jadi mudah erti,0
Menjelaskan lebih rinci beserta contoh-contohnya,jelas lebih rinci contoh,0
Proses mengajar yang diberikan perlu ditingkatkan lagi,proses ajar beri perlu tingkat,0
tidak ada komentar,ada komentar,0
terimakasih ibu ^_^,terimakasih ibu,0
"sangat menyenangkan dengan pola pengajaran ibu.. Sangat menginspirasi. The inspirating woman,, thanks mom ^_^",sangat senang pola ajar ibu sangat inspirasi the inspirating woman thanks mom,1
"sekarang ibu suah sangat sibuk jadi dalam pengajarannya jadi kurang, dan juga dalam penjelasan metri kuliah",sekarang ibu suah sangat sibuk jadi ajar jadi kurang juga jelas metri kuliah,0
Menjelaskan lebih rinci,jelas lebih rinci,0
nothing for comment,nothing for comment,1
sudah sesuai dengan minat belajar mahasiswa,sesuai minat ajar mahasiswa,0
good job,good job,0
dalam menjelaskan kurang jelas. Terlalu cepat,jelas kurang jelas terlalu cepat,0
lebih tingkatkan semangat belajar mahasiswa,lebih tingkat semangat ajar mahasiswa,0
pemberian penjelasan dimulai dari mananya (lebih detail).,beri jelas mulai mana lebih detail,1
penjelasan lebih detail agar mudah dipahami,jelas lebih detail mudah paham,1
sangat menyenangkan dengan pola pengajaran bapak.. Terimakasih pak ^_^,sangat senang pola ajar bapak terimakasih pak,1
pertahankan yg baik dan perbaiki yg kurang baik,tahan yg baik baik yg kurang baik,1
sudah sangat baik. Mungkin dipertahankan saja,sangat baik mungkin tahan,1
good,good,0
perfect,perfect,0
<3 <3 you're rock mam!! Love u !! <3 <3,3 3 you re rock mam love u 3 3,0
memberi saran dalam belajar supaya meningkat dalam upaya belajar,beri saran ajar tingkat upaya ajar,0
good luck !!!,good luck,0
tetap memberikan motivasi kepada mahasiswa,tetap beri motivasi mahasiswa,1
good the job,good the job,0
good,good,0
keep spirit,keep spirit,1
tidak ada komentar,ada komentar,0
good,good,0
dipertahankan,tahan,0
terimakasih ibu,terimakasih ibu,0
asik sekali dan luar biasa ^_^,asik sekali luar biasa,1
well done !,well done,0
baik,baik,1
lanjutkan !!!,lanjut,0
good performance !,good performance,0
lanjutkan !!!,lanjut,0
kualitas mengajar serta kedisiplina bu Kartika membuat mahasiswa selalu tertib dalam kehadiran mata kuliahnya,kualitas ajar kedisiplina bu kartika buat mahasiswa selalu tertib hadir mata kuliah,1
dosen sudah profesional,dosen profesional,1
tingkatkan metode seperti ini,tingkat metode ini,0
sangat baik,sangat baik,1
mendalami supaya lebih mengerti dalam penjelasan,supaya lebih erti jelas,0
dosen jangan terlalu banyak ngasih tugas !!!!!!!!!!!!,dosen jangan terlalu banyak ngasih tugas,0
good job !!!,good job,0
utk materi hendaknya dijelaskan jangan terlalu dilepas karna mahasiswa tidak begitu jelas dalam belajar sendiri,utk materi hendak jelas jangan terlalu lepas karna mahasiswa begitu jelas ajar sendiri,0
good job !!!,good job,0
jangan memberi tugas sebelum menjelaskan materinya!,jangan beri tugas jelas materi,0
the good teacher,the good teacher,1
exelent... !!!,exelent,0
super!!!!!!,super,0
penjelasannya kadang kurang paham bagi mahasiswa,jelas kadang kurang paham mahasiswa,0
Bu Isanah jooz. Ok dalam mengajar mata kuliahnya. Ngerti banget apa maunya mahasiswa,bu isanah jooz dalam ajar mata kuliah ngerti banget apa mau mahasiswa,1
saya masih bingung ama makul ini. Ini maksudya apa?,masih bingung ama makul ini maksudya apa,0
"biarkan mahasiswa yg aktif dosen sbg pembimbing, agar kondisi ruangan dapat berjalan aktif, banyak diskusi",biar mahasiswa yg aktif dosen sbg bimbing kondisi ruang jalan aktif banyak diskusi,0
terimakasih atas penyampaian makul tsb karna dapat membantu meningkatkan mahsiswa m belajar,terimakasih atas makul tsb karna bantu tingkat mahsiswa m ajar,0
yg rajin !!!,yg rajin,0
good,good,0
Makasih Bapak,makasih bapak,0
Pak Anas idola mahasiswa,pak anas idola mahasiswa,1
Great !!! Alias MANTAP,great alias mantap,1
Sangat jelas dan menyenangkan,sangat jelas senang,1
Lanjutkan,lanjut,0
semangat,semangat,1
"bu, sudah sangat baik dalam mengajar",bu sangat baik ajar,1
perfect,perfect,0
contoh-contoh lebih diperbanyak lagi,contoh lebih banyak,0
"metodenya bagus, saya suka denga metodenya. Tapi jgn patah semangat ya bu kalo kadang kita tdk konek",metode bagus suka denga metode jgn patah semangat bu kalo kadang tdk konek,1
semangat ya Ibu utk mencerdaskan kehidupan bangsa,semangat ibu utk cerdas hidup bangsa,1
semoga kedepannya cara mengjarnya semakin menjadi lebih baik lagi ^_^,moga depan cara mengjarnya makin jadi lebih baik,1
perkuliahan sudah baik,kuliah baik,1
perkuliahan sudah berjalan cukup baik,kuliah jalan cukup baik,1
perkuliahan sudah baik dan menyenangkan,kuliah baik senang,1
perkuliahan sudah cukup dan sangat baik,kuliah cukup sangat baik,1
pada saat menjelaskan materi diperbanyak contoh dan aplikasi dari materi di kehiduoan sehari-hari,saat jelas materi banyak contoh aplikasi materi kehiduoan hari,0
dpt lebih meningkatkan minat belajar mahasiswa dan buatlah suasana kwlas  menjadi enjoy agar meteri mudah diterima,dpt lebih tingkat minat ajar mahasiswa buat suasana kwlas jadi enjoy meter mudah terima,1
semoga bisa lebih memotivasi kami dan sebaiknya kuis diadakn per BAB agar materi yg dikuasai banyak,moga lebih motivasi dan baik kuis diadakn per bab materi yg asai banyak,1
metode pembelajaran sangat cukup dimengerti  dan bisa  meningkatkan minat belajar,metode ajar sangat cukup erti bisa tingkat minat ajar,0
metode yg digunakan dlm mengajar dikembangkan lagi supaya lebih menambah kenyamanan dlm belajar.,metode yg dlm ajar kembang supaya lebih tambah nyaman dlm ajar,0
metode pembelajaran yg diberikan cukup meningkatkan minat belajar,metode ajar yg beri cukup tingkat minat ajar,0
tolong dipertahankan,tahan,0
Bu Salamah sudah gaul cara mengajarnya !,bu salamah gaul cara ajar,0
Bu Salamah sudah super. Hanya para muridnya yg belum semangat,bu salamah super para murid yg semangat,0
diperbanyak lagi tugas di rumah buat mahasiswa,banyak tugas rumah buat mahasiswa,0
lebih meningkatkan kualitas belajar agar menumbuhkan semangat belajar,lebih tingkat kualitas ajar tumbuh semangat ajar,0
baik,baik,1
jangan banyak rumus pak!! Saya pusing,jangan banyak rumus pak pusing,1
cemungud pak !! Aku suka makul ini,cemungud pak aku suka makul,1
good teaching,good teaching,0
sipp,sipp,0
semangat bapak !!!,semangat bapak,1
terimakasih bapak !!!,terimakasih bapak,0
lanjutkan !!!!!,lanjut,0
baik,baik,1
tetep semangat pak,tetep semangat pak,1
ganbate kudasai,ganbate dasa,0
cayooo,cayooo,0
terimakasih bapak !!!,terimakasih bapak,0
semangat bapak !!!,semangat bapak,1
maksih ya pak,maksih pak,1
mantappp,mantappp,0
saya harap satu kelas ini bisa lulus semua dengan kriteria minimal B dan saya harap UAS itu open book,harap satu kelas bisa lulus semua kriteria minimal b saya harap uas open book,0
Tugas tugas yg diberikan mohon dikembalikan dan dibertahu kesalahannya agar mhs jadi mengerti,tugas tugas yg beri mohon dan tahu salah mhs jadi erti,1
Good Job.,good job,0
Memuaskan.,muas,1
Semoga jadi dosen faforit.,moga jadi dosen faforit,1
Dipertahankan.,tahan,0
oke siiplah.,oke siiplah,0
Sangat bagus cara mengajarnya. Pokoknya lanjutkan.,sangat bagus cara ajar pokok lanjut,0
Tolong datang tepat waktu.,datang tepat waktu,1
good good good …….,good good good,0
Siip dah……………,siip dah,0
Praktikum Asisten Dosen kurang jelas.,praktikum asisten dosen kurang jelas,0
Terlalu cepat dalam memberi pelajaran.,terlalu cepat beri ajar,0
Kalau ngajar jangan buru buru ngomongnya dan tulisannya jangan kecil.,kalau ngajar jangan buru buru ngomongnya tulis jangan kecil,0
"Kalo ngajar jangan buru-buru, suaranya jg agak dikerasin.",kalo ngajar jangan buru suara jg dikerasin,1
"Materi terlalu mundur, yang praktikum sebelum pelajaran . Nilai pretest selalu jelek.",materi terlalu mundur praktikum ajar nilai pretest selalu jelek,0
Penjelasan terlalu cepat.,jelas terlalu cepat,0
"Cukup Baik dalam mengajar, membuat saya paham.",cukup baik ajar buat paham,0
Semangat.,semangat,1
Cukup baik mengajarnya dan saya bisa paham yg dijelaskan.,cukup baik ajar saya paham yg jelas,0
Sabar dalam menghadapi mhs kalau ada yg belum bisa dimengerti.,sabar hadap mhs kalau yg bisa erti,0
Ibu sebaiknya bisa membuat suasana lebih menarik.,ibu baik buat suasana lebih tarik,1
Lebih diperjelas penjelasannya.,lebih jelas jelas,0
Tetap sabar dalam menjelaskan ke mhs. Soalnya materi susah dimengerti.,tetap sabar jelas mhs soal materi susah erti,0
Peniliaian jangan dilihat dari nilainya tapi dari kesungguhan ia belajar.,peniliaian jangan lihat nilai dari sungguh ajar,0
Jangan pelit nilai.,jangan pelit nilai,1
Senyum dikit kalau menjelaskan biar cepat mengerti.,senyum dikit kalau jelas biar cepat erti,0
"Jangan jelasin terus buk, bosan!!",jangan jelasin terus buk bosan,0
Kalau menerangkan jngan terlalu cepat.,kalau terang jngan terlalu cepat,0
Terima kasih bu..,terima kasih bu,1
"Saya mengidolakan mr. Anas. Selalu memberikan motivasi, terima kasih.",idola mr anas selalu beri motivasi terima kasih,1
Pertahankan.,tahan,0
U'r cool man.,u r cool man,1
Saya suka cara mengajarnya.,suka cara ajar,0
Tingkatkan suasana belajar yg tidak membosankan.,tingkat suasana ajar yg bosan,0
Lebih tepat waktu.,lebih tepat waktu,1
Perkuliahan waktunya ditepati.,kuliah waktu tepat,1
SIP!!!! I like it … I like English.,sip i like it i like english,1
Oke deh.,oke deh,0
Good job teacher,good job teacher,1
Guyonane Apik.,guyonane apik,0
Makasih bapak.,makasih bapak,0
Pak anas idola mhs.,pak anas idola mhs,1
Great alias mantap!!!,great alias mantap,1
Sangat jelas dan menyenangkan.,sangat jelas senang,1
Lanjutkan….,lanjut,0
Semangat!!!!!!!!!!!!!!!!,semangat,1
"Kalo kita gak ketemu ibu lagi, aaaku mau gunting2 peta, biargak ada jarak antara kita.",kalo gak ketemu ibu aaaku mau gunting2 peta biargak jarak kita,0
"Mampu meningkatkan minat saya belajar, DEMI TUHAN!!!!!!!!",mampu tingkat minat ajar tuhan,0
Sangat baik hati dan pertahankan.,sangat baik hati tahan,1
Luar biasaaaaaaaaa,luar biasaaaaaaaaa,1
Walaupun nilainya 31 tapi ibu tetap nomor 1 dihatiku…,walaupun nilai 31 ibu tetap nomor 1 hati,1
Jaga selalu hatimu.,jaga selalu hati,1
Suara ketika mengajar kurang keras.,suara ajar kurang keras,0
"Ibu kalau mengajar jangan keseringan nunduk, jangan kebanyakan senyum, tegas saja.",ibu kalau ajar jangan sering nunduk jangan banyak senyum tegas,0
"Cara mengajar sudah cukup baik, hanya saja suara agar dikeraskan.",cara ajar cukup baik saja suara keras,0
Move on lah dari kemalasan.,move on lah malas,0
Harus lebih bisa menguasai kelas dan lebih interaktif kpd mhs.,lebih kuasa kelas lebih interaktif kpd mhs,1
"Metode penjelasan ""super sekali""",metode jelas super sekali,0
sipp,sipp,0
Contoh dosen recommended ini lho,contoh dosen recommended lho,0
Minat belajar meningkat.,minat ajar tingkat,0
Ditingkatkan lagi.,tingkat,0
Utk audensi lbh sering diajak komunikasi agar nampak hidup kelasnya.,utk audensi lbh sering ajak komunikasi nampak hidup kelas,1
"Penyamaian materi dan pemberian contoh jelas, tapi datang kurang disiplin",penyamaian materi beri contoh jelas datang kurang disiplin,0
Sudah baik tetapi akan lebih baik jika kuliah dilaksanakan secara on time.,baik akan lebih baik kuliah laksana cara on time,1
Tingkatkan lagi,tingkat,0
"Bapaknya baik ngajarnya bagus, tetapi terkadang kurang tepat waktu.",bapak baik ngajarnya bagus terkadang kurang tepat waktu,1
"Penyampaian materi cukup baik, sngat mudah dimengerti. Disiplin waktunya pak!",materi cukup baik sngat mudah erti disiplin waktu pak,1
Jangan telat pak..,jangan telat pak,1
"Terima kasih ilmunya, semoga bermanfaat.",terima kasih ilmu moga manfaat,1
Bagus sebenarnya tapi sering tidak tepat waktu mengajarnya.,bagus benar sering tepat waktu ajar,1
Jelaskan agar kita dapat beristri 4,jelas kita istri 4,0
Tingkatkan semangat belajar kami.,tingkat semangat ajar,0
Lebih humoris lg dong pak….!,lebih humoris lg dong pak,1
Bagus.....!,bagus,1
Sangat baik dalam menerangkan pelajaran.,sangat baik terang ajar,1
Tingkatkan.,tingkat,0
"Pertahankan pak, semangat…",tahan pak semangat,1
Boleh bersama-sama tapi tidak boleh sama.,sama tidak sama,0
Lanjutkan serta tingkatkan.,lanjut tingkat,0
Terus semangat mengajarkan ilmu yg didapat.,terus semangat ajar ilmu yg,0
Lanjutkan.,lanjut,0
Harus tepat waktu kalau mengakhiri perkuliahan.,tepat waktu kalau akhir kuliah,0
Senang belajar bersama ibu.,senang ajar sama ibu,0
"Soal UTS, UAS yang mudah saja.",soal uts uas mudah,1
Lanjutkan..,lanjut,0
siip....,siip,0
Gak usah pelit sama nilai..,gak usah pelit sama nilai,1
Perbanyak latihan,banyak latih,0
Penampilan oke..,tampil oke,1
"kalkulus, capek deh.",kalkulus capek deh,0
"Soal UTS, UAS jangan susah.",soal uts uas jangan susah,0
NO. comment.,no comment,1
"Apabila sudah berakhir kuliah harus tepat waktu, jangan lebih.",apabila akhir kuliah tepat waktu jangan lebih,0
Senang belajar bersama ibu….,senang ajar sama ibu,0
"Lebih menghidupkan suasana kelas jangan monoton, diselingi agar tidak bosan.",lebih hidup suasana kelas jangan monoton ling tidak bosan,0
Bapak asyik pokoknya.,bapak asyik pokok,1
Tingkatkan…..,tingkat,0
Dosen sangat baik dalam menyampaikan materi kuliah.,dosen sangat baik sampai materi kuliah,1
"Terima kasih atas pengabdianya, tingkatkan mutu mhsnya.",terima kasih atas pengabdianya tingkat mutu mhsnya,1
Boleh Bersama-sama tapi tidak boleh sama.,sama tidak sama,0
"Pertahankan cara mengajarnya pak, karena cukup jelasdan mudah dimengerti.",tahan cara ajar pak cukup jelasdan mudah erti,0
Harus lebih tegas kpd mhs yg dtang terlambat.,lebih tegas kpd mhs yg dtang lambat,0
Tetap semangat !!,tetap semangat,1
Alhamdulillah.,alhamdulillah,0
Mata kuliah yg sangat menyenangkan.,mata kuliah yg sangat senang,1
sangat baik.,sangat baik,1
Ok!!!,,0
Semoga lebih baik lagi.,moga lebih baik,1
Jangan pelit penilaian ..,jangan pelit nilai,1
Bapak lebih membuat suasana belajar agar lebih menarik.,bapak lebih buat suasana ajar lebih tarik,1
Alhamdulillah cukup memuaskan..,alhamdulillah cukup muas,1
Ibu dosen kasih nilainya jangan dikit2 kasihan mahasiswanya.,ibu dosen kasih nilai jangan dikit2 kasihan mahasiswa,1
