"komentar","sentimen","preprocessing_result"
"ya jangan pelit bu kalau ngasih nilai","0","ya jangan pelit bu kalau ngasih nilai"
"Pertahankan dan tingkatkan","0","tahan dan tingkat"
"Arigato","2","arigato"
"Joss","2","joss"
"Terima kasih untuk semua","0","terima kasih untuk semua"
"Jangan Pelit** bu kalu kasih nilai","0","jangan pelit bu kalu kasih nilai"
"Nilainya jangan pelit - pelit","0","nilai jangan pelit - pelit"
"Better !","0","better"
"Penyampaian materi terlalu monoton","0","sampai materi terlalu monoton"
"Papan tulis 311 diganti dong","0","papan tulis 311 ganti dong"
"Lemah lembut, baik, pengertian","0","lemah lembut baik erti"
"Tetap Smile !!!","0","tetap smile"
"Kalau menjelaskan enak cukup memahamkan , sabar… Thanks…","0","kalau jelas enak cukup paham sabar thanks"
"Mungkin untuk tahun depan mata kuliah ini ada praktikumnya, supaya mahasiswa lebih memahami","0","mungkin untuk tahun depan mata kuliah ini ada praktikum supaya mahasiswa lebih paham"
" Semangat !! ","0","semangat"
"Lanjutkan perjuangan","2","lanjut juang"
"pertahankan !!!","2","tahan"
" Pertahankan ","2","tahan"
" Kurang jelas saat membeli materi tingkatkan joz. ","0","kurang jelas saat beli materi tingkat joz"
" Kita bukan siswa tapi mahasiswa, berikan pelayanan yang baik dan merata. ","0","kita bukan siswa tapi mahasiswa ikan layan yang baik dan rata"
"Tingkatkan","0","tingkat"
" Pada matakuliah keamana komputer asisten yang ada di lab tidak mampu meningkatkan minat belajar karena penyampaiannya kurang menarik. ","0","pada matakuliah keamana komputer asisten yang ada di lab tidak mampu tingkat minat ajar karena sampai kurang tarik"
" Kalau uadah telat 20 atau lebih mending gak usah masuk aja ","0","kalau uadah telat 20 atau lebih mending gak usah masuk aja"
"Anda baik, tapi banyak menjelaskan hal-hal yang tidak perlu terima kasih , lanjutkan..!!","0","anda baik tapi banyak jelas hal yang tidak perlu terima kasih lanjut"
"Lebih tingkatkan dan lebih lantang dalam penyampaian","0","lebih tingkat dan lebih lantang dalam sampai"
"Joss !!","2","joss"
"Kalau menjelaskan kadang ada istilah** yang bikin bingung & kurang di jelaskan","0","kalau jelas kadang ada istilah yang bikin bingung kurang di jelas"
"Pak, banyakin prateknya ya","0","pak banyakin prateknya ya"
"Jangan mengajar terlalu cepat","0","jangan ajar terlalu cepat"
"Waktu dimulainya sangat tepat waktu","0","waktu mula sangat tepat waktu"
"Baik","0","baik"
"Terima kasih yang telat dibolehkan masuk","0","terima kasih yang telat boleh masuk"
"Terima kasih yang telat dibolehkan masuk","0","terima kasih yang telat boleh masuk"
"Tugas** yang ada memacu mahasiswa untuk berfikir","0","tugas yang ada pacu mahasiswa untuk berfikir"
"Tugasnya jangan terlalu banyak pak…??","0","tugas jangan terlalu banyak pak"
"Tugas…!! Tapi mampu meningkatkan minat mahasiswa","0","tugas tapi mampu tingkat minat mahasiswa"
"Belajar yang menegangkan tapi mengasyikan….","0","ajar yang tegang tapi asyik"
"Menengangkan …… tapi mampu mendisiplinkan mahasiswa","0","menengangkan tapi mampu disiplin mahasiswa"
"Saat menerangkan kurang jelas","0","saat terang kurang jelas"
"Tugasnya jangan terlalu banyak","0","tugas jangan terlalu banyak"
"Menurut saya bapak mengajar sangat baik sehingga membuat siswa lebih bersemangat untuk tau dan terus belajar","0","turut saya bapak ajar sangat baik sehingga buat siswa lebih semangat untuk tau dan terus ajar"
"Jangan buat kelas jadi tegang ya pak ?","0","jangan buat kelas jadi tegang ya pak"
"Selain memberi materi yang detail sebaiknya jelaskan dgn contoh atau menyelesaikan contoh bersama-sama mahasiswa","0","selain beri materi yang detail baik jelas dgn contoh atau selesai contoh sama mahasiswa"
"Tugasnya terlalu banyak harap dikondisikan","0","tugas terlalu banyak harap kondisi"
"Terus tingkatkan belajar - mengajar seperti ini karna akan meningkatkan kwalitas mahasiswa","0","terus tingkat ajar - ajar seperti ini karna akan tingkat kwalitas mahasiswa"
"Jangan cepat** materinya dijelasin dulu, baru suruh mengerjakan pak……","0","jangan cepat materi dijelasin dulu baru suruh kerja pak"
"Tugas yang diberikan, harap disesuaikan dengan porsi dan kemampuan mahasiswa, karena masih banyak mata kuliah yang lain jugayg memiliki tugas","0","tugas yang beri harap sesuai dengan porsi dan mampu mahasiswa karena masih banyak mata kuliah yang lain jugayg milik tugas"
"keep spirit","2","keep spirit"
"good luck","2","good luck"
"Lanjutkan !!!","2","lanjut"
"Bagus !","2","bagus"
"Kurang tepat waktu","0","kurang tepat waktu"
"Semoga dosennya lebih baik lagi","0","moga dosen lebih baik lagi"
"Lanjutkan","2","lanjut"
"Jam Pengganti Jangan Mendadak !","0","jam ganti jangan dadak"
"Terima kasih","0","terima kasih"
"Oke lah kalau begitu","2","oke lah kalau begitu"
"Disarankan tidak selalu mengadakan kuliah pengganti","0","saran tidak selalu ada kuliah ganti"
"Sangat meningkatkan semangat","0","sangat tingkat semangat"
"Harap Kuliahnya yang disiplin","0","harap kuliah yang disiplin"
"Lebih rajin berangkat","0","lebih rajin berangkat"
"Cara mengajar cukup menyenangkan","0","cara ajar cukup senang"
"Cepat sembuh ya pak","0","cepat sembuh ya pak"
"Joss...","2","joss"
"Terlalu disiplin","0","terlalu disiplin"
"Super","0","super"
"Cara belajar efektif lanjutkan..","2","cara ajar efektif lanjut"
"super","0","super"
"Lanjutkan !!","2","lanjut"
"Terima kasih","0","terima kasih"
"Good luck","2","good luck"
"Tingkatkan","0","tingkat"
"siap !!!","0","siap"
"Incredible is amazing…joss","2","incredible is amazingjoss"
"Seep Ok, yes, lanjutkan,,,!!","2","seep ok yes lanjut"
"Luaaar biasaaa!!! Mantap","2","luaaar biasaaa mantap"
"Lanjutkan !!!","2","lanjut"
"Dalam penyampaian materi Dosen - Dosen sangat baik dalam penyampaiannya","0","dalam sampai materi dosen - dosen sangat baik dalam sampai"
"Penyampaian materinya baik","0","sampai materi baik"
"Lebih banyak lagi dalam  memberikan contoh kongkrit","0","lebih banyak lagi dalam beri contoh kongkrit"
"Dalam penyampainnya jangan terlalu cepat tetapi untuk materi cukup memuaskan","0","dalam penyampainnya jangan terlalu cepat tetapi untuk materi cukup muas"
"Hafalan banyak , tapi materi baru diterima ,sangat memberatkan !!! tapi asyik","0","hafal banyak tapi materi baru terima sangat berat tapi asyik"
"Dapat memperdalam ilmu dakwah, mantap","0","dapat dalam ilmu dakwah mantap"
"Semangat, memperdalam ilmu dakwah","0","semangat dalam ilmu dakwah"
"Pemateri mengasyikan, dapat praktek ceramah, tau alur dan etika dakwah","0","materi asyik dapat praktek ceramah tau alur dan etika dakwah"
"Good","2","good"
"Sangat menarik","0","sangat tarik"
"Perkuliahan sertifikasi IV cukup menyenangan, metode yg diajarkan dapat menarik minat","0","kuliah sertifikasi iv cukup senang metode yg ajar dapat tarik minat"
"oke","2","oke"
"Cukup baik dan sangat mudah untuk dimengerti","0","cukup baik dan sangat mudah untuk erti"
"Cepet pulang !! Kangen ibu sama bapak","0","cepet pulang kangen ibu sama bapak"
"Bagus, lanjutkan !","2","bagus lanjut"
"Mantap, lanjutkan","2","mantap lanjut"
"Lebih memperdalam ilmu agama , bagus","0","lebih dalam ilmu agama bagus"
"Still go on !","2","still go on"
"Baik","0","baik"
"Semuanya udah baik","0","semua udah baik"
"No comment… sudah baik","2","no comment sudah baik"
"No comment","1","no comment"
"Selamat dan sukses semoga bisa meningkatkan semangat belajar mahasiswa fighting……!!","0","selamat dan sukses moga bisa tingkat semangat ajar mahasiswa fighting"
"Is the best !!! Semoga umrohnya berjalan dengan lancar pak amin…….","2","is the best moga umrohnya jalan dengan lancar pak amin"
"Lanjutkan pak dengan efisiensi yang lebih baik","0","lanjut pak dengan efisiensi yang lebih baik"
"Good job","2","good job"
"Jangan sering presentasi !","0","jangan sering presentasi"
"Agar selalu memberikan semangat bagi mahasiswa biar dapat menujunyang lebih baik","0","agar selalu beri semangat bagi mahasiswa biar dapat menujunyang lebih baik"
"Lanjutkan !!!","2","lanjut"
"Lebih jelas menerangkan kuis materi di jelaskan dahulu","0","lebih jelas terang kuis materi di jelas dahulu"
"Tolong materi dibagikan belum punya elearning","0","tolong materi bagi belum punya elearning"
"Good Job","2","good job"
"Good Job","2","good job"
"Nilai yang bagus ya pak !!!","0","nilai yang bagus ya pak"
"Nilainya B","0","nilai b"
"Harus B Pokoknya !!","0","harus b pokok"
"Humoris jadi asyin belajarnya","0","humoris jadi asyin ajar"
"Soal jangan terlalu jauh dgn contoh"""" Soal & materi di berikan saat kuliah","0","soal jangan terlalu jauh dgn contoh soal materi di ikan saat kuliah"
"Lanjutkan Bu","2","lanjut bu"
"Lanjutkan Bu","2","lanjut bu"
"Lanjutkan !!","2","lanjut"
"cukup","2","cukup"
"Seharusnya dosen memberikan motivasi di sela-sela perkuliahan agar mahasiswa merasa bersemangat","0","harus dosen beri motivasi di sela kuliah agar mahasiswa rasa semangat"
"good job","2","good job"
"Dosen yang bersangkutan sebaiknya kedepannya lebih menghargai dan konsisten waktu","0","dosen yang sangkut baik depan lebih harga dan konsisten waktu"
"Terima kasih atas bimbingan yang ibu berikan, semuanya sangat bermanfaat bagi kami, terima kasih ibu","0","terima kasih atas bimbing yang ibu ikan semua sangat manfaat bagi kami terima kasih ibu"
"Great job bu..","2","great job bu"
"Jangan kebanyakan nyatet bu, lebih ke contoh-contoh konkret dan pengaplikasiannya di industri","0","jangan banyak nyatet bu lebih ke contoh konkret dan aplikasi di industri"
"Kurang besar suara dalam mengajar","0","kurang besar suara dalam ajar"
"Metode pembelajarnnya di perbaiki","0","metode pembelajarnnya di baik"
"Good job","2","good job"
"Proses mengajar sudah bagus, perlu ditingkatkan lagi","0","proses ajar sudah bagus perlu tingkat lagi"
"Terima kasih atas pengajaran yang ibu berikan semoga berguna bagi kami kelak Amin","0","terima kasih atas ajar yang ibu ikan moga guna bagi kami kelak amin"
"Lebih banyak penjelasan ya bu","0","lebih banyak jelas ya bu"
"Lebih memperdalam teori dalam pengajaran","0","lebih dalam teori dalam ajar"
"Bagus dalam mengajar tingkatkan kembali","0","bagus dalam ajar tingkat kembali"
"Good","2","good"
"Sudah baik sekali dalam penyampain","0","sudah baik sekali dalam penyampain"
"Perfect Teacher","2","perfect teacher"
"Mantap Lanjutkan","2","mantap lanjut"
"Super sekali !!!","0","super sekali"
"Mrs. Jamil is the best","2","mrs jamil is the best"
"is the best","2","is the best"
"is the best","2","is the best"
"Baik dalam penyampaian materi , semoga lebih baik","0","baik dalam sampai materi moga lebih baik"
"Tingkatkan","0","tingkat"
"Tolong dalam mengakhiri jam perkuliahan ditetibkan makasih","0","tolong dalam akhir jam kuliah ditetibkan makasih"
"Tolong pada saat mengajar jangan membanding''kan organisasi yang lain (jangan sebut partai)","0","tolong pada saat ajar jangan banding kan organisasi yang lain jangan sebut partai"
"Perlu ditingkatkan lagi cara penyampaian materi","0","perlu tingkat lagi cara sampai materi"
"Cara memberi materi beserta contoh''nya sudah bagus tetapi masih telat dalam waktu","0","cara beri materi serta contoh nya sudah bagus tetapi masih telat dalam waktu"
"lebih suka menghadapi mahasiswa karena kesabaran bisa membuat hati lebih nyaman","0","lebih suka hadap mahasiswa karena sabar bisa buat hati lebih nyaman"
"Cara memberi materi dan contoh""nya sudah bagus","0","cara beri materi dan contoh nya sudah bagus"
"sudah cukup baik","2","sudah cukup baik"
"Kurang dikerasin suaranya, yang bagian belakang agak"" tidak kedengeran","0","kurang dikerasin suara yang bagi belakang agak tidak kedengeran"
"Good Job","2","good job"
"Semangat ibu dan terima kasih","0","semangat ibu dan terima kasih"
"sangat memotivasi","0","sangat motivasi"
"sudah cukup baik","2","sudah cukup baik"
"Oke lah kalu begitu……..","2","oke lah kalu begitu"
"Tolong lebih tertib lagi dalam hal mengajar (Presensi)","0","tolong lebih tertib lagi dalam hal ajar presensi"
"Tingkatkan","0","tingkat"
"Ketepatan waktu perlu ditingkatkan","0","tepat waktu perlu tingkat"
"Tingkatkan","0","tingkat"
"Tepat Waktu…..","0","tepat waktu"
"Lanjutkan","2","lanjut"
"Joss Gandos","2","joss gandos"
"Seharusnya dosen lebih mampu mengauasai kelas tidak hanya fokus pada slide presentasi","0","harus dosen lebih mampu mengauasai kelas tidak hanya fokus pada slide presentasi"
"Oke Saya suka cara mengajarnya !!","0","oke saya suka cara ajar"
"semangat ibu...","0","semangat ibu"
"Lebih kreativ dalam mengajar","0","lebih kreativ dalam ajar"
"Belajar menguasai kelas, analogikan dgn sederhana","0","ajar kuasa kelas analogi dgn sederhana"
"Lanjutkan ibu……..","2","lanjut ibu"
"Lanjutkan !!","2","lanjut"
"Good Teacher","2","good teacher"
"Lanjutkan","2","lanjut"
"Lanjutkan","2","lanjut"
"Komunikativ kurang","0","komunikativ kurang"
"Mantap !!","2","mantap"
"Perlunya pembagian materi (soft copy) sebelum materi disampaikan sehingga mahasiswa dapat belajar & mengetahui materi terlebih dahulu","0","perlu bagi materi soft copy belum materi sampai sehingga mahasiswa dapat ajar tahu materi lebih dahulu"
"Cara menjelaskan tentang materi kuliah terlalu cepat sekali dan membuat mahasiswa kurang paham","0","cara jelas tentang materi kuliah terlalu cepat sekali dan buat mahasiswa kurang paham"
"Tolong lebih memperhatikan mahasiswa yang kurang memperhatikan kuliah","0","tolong lebih perhati mahasiswa yang kurang perhati kuliah"
"Dosene ndagel….perjuangkan !!!!","2","dosene ndagel juang"
"Terima kasih ibu","0","terima kasih ibu"
"Jangan suka terbang terus !!!","0","jangan suka terbang terus"
"Cantik","2","cantik"
"Semoga Ibukku baik pada nilai. Bantu nilai kami buk.","0","moga ibukku baik pada nilai bantu nilai kami buk"
"Anda sudh baik dalam KBM, tapi kurang mencairkan suasana  dan tolong banyakin mengerjakan soal dari pada penyampaian materi, karena mengerjakan soal akan lebih mudah diingat dan tetap demangat…GAMBATE !!!","0","anda sudh baik dalam kbm tapi kurang cair suasana dan tolong banyakin kerja soal dari pada sampai materi karena kerja soal akan lebih mudah ingat dan tetap demangatgambate"
"+cantik","2","cantik"
"Cantik + Jenius + banyak untuk untuk mengerjakan soal ya bu saat di kelas","0","cantik jenius banyak untuk untuk kerja soal ya bu saat di kelas"
"Mantaf, tapi banyakin mengerjakan soal.","0","mantaf tapi banyakin kerja soal"
"Ibunya jangan pelit nilai, walaupun salah ya dikasih nilai bu… yang penting jangan )…hehehe…","0","ibu jangan pelit nilai walaupun salah ya kasih nilai bu yang penting jangan hehehe"
"Ibunya pelit nilai, tidak memghargai pekerjaan mahasiswa !","0","ibu pelit nilai tidak memghargai kerja mahasiswa"
"Cuman 1 catatan buat ibu… tolong kasih nilainya jangan pelit ya…masa matematika salah dapat 0 ?? Hargai nulisnya bu…..","0","cuman 1 catat buat ibu tolong kasih nilai jangan pelit yamasa matematika salah dapat 0 harga nulisnya bu"
"Terus wow gitu?","0","terus wow gitu"
"Datang tepat waktu","0","datang tepat waktu"
"kasih tau gak ya?","0","kasih tau gak ya"
"Good...!","2","good"
"Penilaian kemarin tidak bagus…karena pada saat salah langsung nilai 0 tidak ada penilai yang pada kerja/mengisi dulu…tidak seperti pelajaran/matakuliah lain. Terimakasih…..semoga kedepan lebih baik","0","nilai kemarin tidak baguskarena pada saat salah langsung nilai 0 tidak ada nilai yang pada kerja isi dulutidak seperti ajar matakuliah lain terimakasih moga depan lebih baik"
"Oh begitu toooo","0","oh begitu toooo"
"Dosennya WOW banget ! Ngajarnya enak..The Best","2","dosen wow banget ngajarnya enak the best"
"WOW gitu","0","wow gitu"
"Cara mengajarnya enak banget","0","cara ajar enak banget"
"Terimakasih telah membimbing kami, kalo bisa soal latihan dibuat mirip dengan soal UAS ya bu","0","terimakasih telah bimbing kami kalo bisa soal latih buat mirip dengan soal uas ya bu"
"Yang sulit memang membawa mahasiswa mengikuti pelajaran dengan baik. Saya sarankanteruskan cara efektifnya","0","yang sulit memang bawa mahasiswa ikut ajar dengan baik saya sarankanteruskan cara efektif"
"Lanjutkan…!!!","2","lanjut"
"Frekuensi suaranya mohon dikurangi. Suaranya kenceng tapi bikin ngantuk. Demi Tuhannn !!!","0","frekuensi suara mohon rang suara kenceng tapi bikin ngantuk demi tuhannn"
"Jarinya nanggung","0","jari nanggung"
"Kurang bersahabat","0","kurang sahabat"
"On time yuk bu","0","on time yuk bu"
"Mohon tepat waktu ya bu","0","mohon tepat waktu ya bu"
"Perbanyak diskusi kelompok","0","banyak diskusi kelompok"
"Perbanyak diskusi","0","banyak diskusi"
"Sistem perkuliahannya diperbanyak diskusi","0","sistem kuliah banyak diskusi"
"Sistem perkuliahannya diperbanyak diskusi","0","sistem kuliah banyak diskusi"
"Jooooshh… Gandosh…!!!","0","jooooshh gandosh"
"Jangan sembarangan menentukan jam pengganti","0","jangan sembarang tentu jam ganti"
"TOP","2","top"
"Sangat baik, tapi lebih baik jika anda bisa mencairkan suasana","0","sangat baik tapi lebih baik jika anda bisa cair suasana"
"BAGUS","2","bagus"
"Bapaknya luar biasa","2","bapak luar biasa"
